"id","title","category","description","prompt","author","source"
"61","YouTube Thumbnail - Dan-Style Cover Image Prompt","","A prompt designed to create cover images in the style of 'Dan' (likely a popular creator or style), shared for use with Youmind, which integrates Nano Banana Pro, allowing users to create visually striking cover art.","A highly detailed, professional, and visually striking cover image for a blog post about {argument name=""topic"" default=""AI tools""}. The image should feature a clean, modern design with bold typography and a minimalist color palette, emphasizing {argument name=""visual focus"" default=""technology and innovation""}. Use dramatic, high-contrast lighting and a shallow depth of field to draw attention to the central subject. The style should be photorealistic and cinematic, similar to high-end tech editorial photography. Aspect ratio 16:9.","日拱一卒王小楼","https://x.com/wang_xiaolou/status/2013076983018881159"
"62","YouTube Thumbnail - Image Conversion to Berserker Style","","A prompt used with Nano Banana Pro to convert an existing image into a 'Berserker' style. The prompt describes a fierce warrior, a red flash speeding across the battlefield, wielding an axe that cuts through everything. This is an image-to-image conversion prompt.","A red flash speeding across the battlefield! ⚡️
That axe cuts through everything...!","ちゃろん","https://x.com/charon_artist/status/2012872607138488815"
"63","YouTube Thumbnail - Image Conversion to Berry Tart Dress Style","","A prompt used with Nano Banana Pro to convert an existing image into a 'Berry Tart' style. The prompt describes a gorgeous dress covered in lots of strawberries, suggesting a sweet and sour love flavor. This is an image-to-image conversion prompt.","The taste of sweet and sour love? 💕
The dress full of strawberries is gorgeous! ✨","ちゃろん","https://x.com/charon_artist/status/2012812209337041345"
"64","YouTube Thumbnail - Nano Banana Pro Prompt for X Article Header Image Generation","","A comprehensive prompt template for Nano Banana Pro designed to generate visually appealing header images for X (Twitter) articles or blog posts. It instructs the AI to use reference images effectively, avoid duplication, and incorporate the article title and optional subtitle/dialogue, while specifying a 5:2 aspect ratio and 4K quality.","Please create a visually appealing header image for a blog post by arranging the reference images well.
However, use each image only once.
Do not duplicate.
Ensure the elements in the reference images do not blend together.
There should be a slight margin above and below the image.
Be creative with the background.
The title may be overlaid on the image.
5:2 4K quality
Title: {argument name=""title"" default=""[Enter article title]""}","てんねん","https://x.com/munou_ac/status/2012407033665064985"
"65","YouTube Thumbnail - Cricketer Composite Portrait and Stats Graphic","","A prompt for generating a dynamic composite portrait of an Indian cricketer (Shreyas Iyer) in his Royal Challengers Bangalore jersey. The composition includes a large close-up portrait, a smaller action shot (celebration), and a third inset (batting), all set against a bold red background with a golden lion emblem. The prompt also requires the inclusion of specific IPL 2025 statistics via typography.","A dynamic composite portrait of Indian cricketer {argument name=""cricketer name"" default=""you neme""} in his Royal Challengers Bangalore jersey, set against a bold red background with a stylized golden lion emblem. The composition features a large, close-up portrait of Iyer in the foreground, looking directly at the viewer with a serious expression, short dark hair, and a trimmed beard. Behind him, a smaller, action-oriented image shows him mid-celebration, mouth open in triumph, wearing the same red jersey with ""DREAM11"" and ""KINGS"" logos. A third, smaller inset depicts him batting in full gear, mid-swing. He wears a red long-sleeved jersey with gold accents, blue pants, and cricket pads. The lighting is dramatic and studio-like, highlighting his features and the vibrant red of his uniform. The background is a deep red with a glowing golden lion logo, evoking team identity. Text elements on the left display his IPL 2025 stats: {argument name=""innings"" default=""13""} innings, {argument name=""runs"" default=""604""} runs, 50.33 average, 175.07 strike rate, and 6 fifties. The overall style is a high-impact sports graphic, combining realistic photography with bold typography and graphic design elements.","हम हिन्दुस्तानी ♥️","https://x.com/AiVIRALFUN/status/2012250609567826431"
"66","YouTube Thumbnail - Extreme Closeup of Sophie Turner as Lara Croft","","A highly detailed prompt for an extreme cinematic closeup portrait of Sophie Turner as Lara Croft. It focuses on visceral textures like sweat, mud, and grit on her skin, high-contrast lighting to emphasize facial contours, and technical details like an 85mm macro lens for razor-sharp focus on her fierce expression.","Extreme closeup portrait of {argument name=""subject"" default=""Sophie Turner""} as {argument name=""character"" default=""Lara Croft""}, framed in a 9:16 vertical aspect ratio, focusing intensely on her face, jawline, and neck. She is captured in a moment of pause, one hand raised to her face as she delicately holds the frame of her signature round, red-tinted sunglasses. Her skin is rendered with hyper-realistic detail, featuring visible pores and a fine sheen of perspiration; large, glistening beads of sweat trickle down her forehead and the length of her neck. Smudges of dark, gritty mud and dried dirt are artfully smeared across her cheekbones and collarbone.
The lighting is high-contrast and cinematic, with a sharp key light hitting the side of her face to emphasize the moisture on her skin and the sharp contours of her facial structure, while a subtle rim light separates her from the dark, atmospheric background. Her eyes are sharp and focused, looking directly past the lens with a fierce, weathered expression. The textures are visceral: the polished metal and red glass of the spectacles, the damp strands of her dark hair pulled back, and the rugged, ribbed fabric of her teal tank top visible at the bottom of the frame alongside the distressed brown leather of her tactical shoulder harness. Shot with an 85mm macro lens, f/2.8, creating a shallow depth of field that keeps the focus razor-sharp on her facial features and the grit of the dirt while softly blurring the background.","QuestGlitch","https://x.com/AIRevSpot/status/2012223926244614153"
"67","YouTube Thumbnail - YouTube Thumbnail: Trump vs. Chatham House Reaction","","A prompt for generating a high-impact YouTube thumbnail image with a specific visual structure: a triumphant Trump cutout on the right and a shocked corporate figure (Chatham House head) on the left, overlaid with the text 'THEY CONFESSED'. This is a political/news-style graphic prompt.","High impact youtube thumbnail.  Visual Structure: Right Side: A large, well-lit cutout of {argument name=""figure 1"" default=""Trump smiling smugly or looking triumphant with a \""thumbs up\"" and a confident smirk""}. He should be facing slightly left.  Left Side/Background: A dark, moody photo of the person [photo attached] who has a shocked expression on her face, reacting to Trump. She in a dark corporate boardroom with the Chatham House Logo.  The Text (Top Center, Bright Yellow): ""{argument name=""headline"" default=""THEY CONFESSED""}""","Adam Sturman","https://x.com/adamsturman23/status/2011563498183053690"
"68","YouTube Thumbnail - Weekly Schedule Template for VTubers","","A detailed prompt designed for Nano Banana Pro to create a clean, flat, and cute pastel-toned weekly schedule template suitable for VTubers and streamers. It includes specific layout instructions, size specifications (1920x1080, 16:9), and strict rules about text inclusion and empty space for later character synthesis.","Create a ""Weekly Schedule"" template image for VTubers and streamers.
Horizontal 16:9, size 1920x1080, flat, neat, print-like design (vector style). The overall look should be cute pastel tones (gentle colors like pale pink, mint, lavender), prioritizing readability without clutter.

Layout specification:
・Place the schedule section top-aligned on the left 60% of the screen.
・7 rows (Days of the week: ""Mon, Tue, Wed, Thu, Fri, Sat, Sun"").
・Each row consists of a ""Day label (small round badge)"" + ""Horizontal blank box for writing plans.""
・The blank box must be completely empty. Absolutely do not include sample text (e.g., 'Plan here', 'SAMPLE', 'MEMO', etc.).
・The right 40% of the screen is empty space for later synthesis of a standing character image. Do not draw people, animals, mascots, or silhouettes. The background should only be a faint gradient and subtle abstract patterns of small stars/hearts/dots.

Text specification:
・The only text to include is ""Weekly Schedule"" and ""Mon Tue Wed Thu Fri Sat Sun"" (in Japanese).
・Do not include any other text (SNS, date range, warnings, logos, hashtags, watermarks).
・The font should be rounded Gothic style, easy to read, and legible even on a white background.

Finishing:
・Ensure ample margin around the perimeter, and elements on the left and right sides do not overlap.
・No logo.","ひいらぎまる","https://x.com/hiiragimaruru/status/2011264976816918697"
"69","YouTube Thumbnail - Pop-Up Book Diorama Generator Prompt","","A complex, multi-step system instruction prompt designed to generate a hyper-realistic, macro-photography shot of a Pop-Up Book Diorama based on a given movie or book title. It instructs the AI to act as a Master Prop Maker and analyze the title to determine biome, conflict, vessel, and materiality, and then construct a detailed miniature action scene within the book's pages.","Do it for Terminator: {argument name=""title"" default=""Moby Dick""}

System Instruction:
Act as a Master Prop Maker. Generate a hyper-realistic, macro-photography shot of a ""Pop-Up Book Diorama.""
1. Forensic Analysis:
Analyze the Input Title to determine the visual components:
The Biome: Identify the primary setting (e.g., Ocean, Jungle, Space, Desert).
The Conflict: Identify the Antagonist or Monster (e.g., The White Whale, T-Rex, Darth Vader).
The Vessel/Hero: Identify the main vehicle or protagonist (e.g., The Pequod, The Jeep, The Millennium Falcon).
The Materiality: Identify the texture of the world (e.g., Wood & Water; Amber & Leaf; Metal & Stars).
2.  Container (The Open Book):
The Object: A massive, vintage, leather-bound hardcover book lying flat on a wooden desk.
The Transformation: The book is open to the middle. The pages do not just lie flat; they physically mutate into the ""Biome"" identified in Step 1.
Example: If Ocean, the pages turn into turbulent resin waves. If Desert, they turn into dunes.
3. Typography (The Floating Title):
The Text: The [Title of the Input] rises out of the landscape as massive, 3D block letters.
Integration: The letters must interact with the environment.
Texture: The letters are made of materials from the story (e.g., Driftwood, Stone, Bone).
Placement: The waves crash over the letters; vines wrap around the letters.
4. The Action Scene :
CRITICAL: Construct a specific scene using miniature models on top of the book.
The Threat: Place the ""Antagonist"" looming large in the background (e.g., The Whale breaching behind the text).
The Hero: Place the ""Vessel"" or ""Protagonist"" navigating the terrain in the foreground (e.g., A tiny ship rocking on the waves).
Scale: The scene must look like a high-end model kit (1:87 scale).
5. Lighting & Atmosphere:
The Lamp: A vintage brass desk lamp is visible in the corner, casting a warm, directional ""reading light"" onto the scene.
Atmosphere: Magical realism. The water should glisten; the fog should swirl.
Depth: Shallow depth of field to blur the edge of the desk, keeping focus on the book.
Output: ONE image, 16:9 Aspect Ratio, Cinematic Miniature Photography, 8k Resolution.","Gadgetify","https://x.com/Gdgtify/status/2011090875447984276"
"70","YouTube Thumbnail - Cinematic Portrait of Indian Astronaut in ISRO Spacesuit","","A prompt for creating an ultra-realistic 8K cinematic portrait of an astronaut inside an Indian spacecraft, looking at Earth with the Indian subcontinent visible. The prompt specifies the ISRO spacesuit, lighting from Earth, and emphasizes preserving the subject's exact facial features.","Create an ultra-realistic 8K cinematic portrait of an astronaut inside an Indian spacecraft, looking out of the circular window at the Earth below, with the Indian subcontinent clearly visible. wearing a modern white and saffron ISRO spacesuit with the Indian flag emblem on the shoulder.
Expression is one of awe and quiet pride. The soft blue light from the Earth illuminates the face, while the complex buttons and screens of the cockpit glow faintly in the background. The mood is patriotic, futuristic, and deeply inspiring.Keep face and features exactly the same.","simeon-sanai","https://x.com/Naiknelofar788/status/2011042457748922442"
"71","YouTube Thumbnail - Monk Delivering Life Advice Video Still Prompt","","A structured prompt for generating a realistic 4K video still of an elderly Buddhist monk delivering life advice in a traditional East Asian temple courtyard. The prompt specifies the monk's appearance, clothing, objects (scripture, candle), and camera settings (iPhone 17 Pro, vertical 9:16) to mimic a viral social media video aesthetic.","{
  ""scene_type"": ""spiritual_teaching_courtyard"",
  ""setting"": {
    ""location"": ""outdoor Buddhist temple courtyard"",
    ""background"": {
      ""architecture"": ""traditional East Asian temple with intricate wood carvings, red pillars, and curved roof tiles"",
      ""nature"": ""lush green trees to the left"",
      ""ground"": ""grey stone pavement"",
      ""weather"": ""overcast to soft natural daylight""
    }
  },
  ""subject"": {
    ""type"": ""elderly_monk"",
    ""position"": ""seated cross-legged on the ground"",
    ""pose"": ""sitting behind a low table, speaking directly to camera"",
    ""expression"": ""earnest, wise, and instructional"",
    ""appearance"": {
      ""hair"": {
        ""style"": ""shaved/bald"",
        ""color"": ""none""
      },
      ""skin_features"": ""aged skin with deep wrinkles"",
      ""eye_color"": ""dark""
    },
    ""clothing"": {
      ""top"": ""light grey inner robe with saffron yellow outer robe draped over shoulder"",
      ""bottom"": ""saffron yellow robe fabric covering legs""
    },
    ""accessories"": []
  },
  ""objects"": [
    {
      ""type"": ""furniture"",
      ""name"": ""low wooden table"",
      ""material"": ""light wood"",
      ""position"": ""foreground in front of monk""
    },
    {
      ""type"": ""book"",
      ""name"": ""large open scripture"",
      ""state"": ""open with visible text columns"",
      ""position"": ""on wooden table""
    },
    {
      ""type"": ""light_source"",
      ""name"": ""candle"",
      ""color"": ""white wax"",
      ""state"": ""lit with small yellow flame"",
      ""position"": ""on table next to book""
    }
  ],
  ""camera"": {
    ""device"": ""iPhone 17 Pro"",
    ""angle"": ""eye-level"",
    ""framing"": ""medium shot"",
    ""orientation"": ""portrait vertical 9:16"",
    ""quality"": ""4k video still, high definition, sharp focus""
  },
  ""mood"": ""serene, philosophical, didactic"",
  ""lighting"": ""soft, diffuse natural daylight"",
  ""image_style"": ""viral social media video, realistic"",
  ""activity"": ""monk delivering life advice""
}","Lore","https://x.com/l_w_lorenzen/status/2010622716475482593"
"72","YouTube Thumbnail - Thumbnail Generation Prompt for Sales Content (Brain/Tips/Note)","","A structured system prompt designed to be used with Nano Banana Pro to generate high-quality, 'sellable' eye-catching thumbnails for online content platforms like Brain, Tips, and Note. The prompt defines the role as a professional graphic designer and provides a detailed design style guide, including layout, color scheme, typography, and required input fields for customization.","# Role

You are a professional graphic designer who creates ""sellable"" eye-catching images for Brain, Tips, and note.

# Task

Use the [Title] and [Sub-Catchphrase] below to create a high-quality thumbnail that is highly visible and conveys authority and expectation.

# Design Style

- Composition: Based on the layout of the attached image.

1. [Top]: Place a black, rounded-corner band (badge) in the upper left and write the [Achievement/Urgency Word] there.

2. [Upper Center]: Place the [Sub-Catchphrase] in bold white text (with orange or yellow borders).

3. [Center]: Place the main [Title] as huge, bold text spanning the screen. The text color should be the most prominent color that contrasts with the background, such as a ""yellow-to-white gradient"" or ""neon glow,"" with multiple borders and a drop shadow for three-dimensionality.

4. [Bottom]: Place two ""Benefit Boxes"" (rectangles) on the left and right. Place a ribbon or badge labeled ""Benefit 01"" and ""Benefit 02"" above each. Write the [Benefit Content] inside the boxes.

5. [Decoration]: Place a cute or intellectual character (person or animal) related to the theme at either the left or right edge of the screen.

- Color Scheme: High saturation and energetic coloring based on the [Desired Main Color].
- Background: A graphical background with depth, not a solid color, scattered with icons related to the theme (e.g., SNS, money, graphs).

# Input Data

- 【Main Color】: {argument name=""main color"" default=""Blue system""}
- 【Achievement/Urgency Word】: {argument name=""achievement/urgency word"" default=""Achieved 100k in 5 days of entry!""}
- 【Sub-Catchphrase】: {argument name=""sub-catchphrase"" default=""No product creation! OK without achievements! In as little as 1 month""}
- 【Title】: {argument name=""title"" default=""Threads × Affiliate Strategy Course""}
- 【Benefit 01 Content】: {argument name=""benefit 01 content"" default=""10 days of actual selling posts""}
- 【Benefit 02 Content】: {argument name=""benefit 02 content"" default=""Includes AI automatic generation tool""}

# Constraints

- Accurately depict Japanese text.
- Use a thick, powerful Gothic or design font.
- Output in a 16:9 aspect ratio.
__________________________","まみや@AIで1.7億","https://x.com/akihitomamiya/status/2010592584083849622"
"73","YouTube Thumbnail - Premium Esports Gamer Portrait Prompt","","A detailed image generation prompt designed to create a high-end, cinematic portrait of an esports gamer. It emphasizes dramatic lighting, a red-orange gradient background, ultra-detailed gear, and a sleek, modern aesthetic, aiming for a look trending on platforms like Behance.","Esports gamer, premium style portrait, fiery glow lighting, {argument name=""background color"" default=""red-orange""} gradient background, minimal or no patterns, dramatic lighting, high-end aesthetic, ultra-detailed face and gear, professional gaming headset, cinematic tone, sharp contrast, sleek and modern look, energetic pose, intense focus, dynamic depth, smooth glossy elements, trending on Behance, studio-quality render, 8K resolution","Harboriis","https://x.com/harboriis/status/2010229212053913910"
"74","YouTube Thumbnail - Text Correction and Replacement Prompt","","A simple prompt for Nano Banana Pro used to correct garbled text (mojibake) in an existing image. It instructs the AI to use the existing image and replace the incorrect text with specific Japanese phrases at designated locations (top left, bottom left, top right, bottom right).","Use the image as is and fix the garbled text. Top left: ""{argument name=""Top Left Text"" default=""I got a cute hairstyle today!""}"" Bottom left: ""{argument name=""Bottom Left Text"" default=""Haruka Sakagawa's Day""}"" Top right: ""{argument name=""Top Right Text"" default=""Mahopyon requested this""}"" Bottom right: ""{argument name=""Bottom Right Text"" default=""Today's lucky color is pink""}""","ロホ","https://x.com/rojorojo46/status/2009768492678139979"
"75","Comic / Storyboard - 3x3 Product Storyboard Grid for Branding Portfolio","","A complex, multi-frame prompt designed to transform a single reference image into a cohesive 3x3 storyboard grid for a high-end branding portfolio. It mandates strict adherence to the reference product's identity across all nine panels, each depicting the product from a different angle, context, or close-up, focusing on design, materiality, and visual rhythm.","Create ONE final image.

A clean 3×3 [ratio] storyboard grid with nine equal [ratio] sized panels on [4:5] ratio.

Use the reference image as the base product reference. Keep the same product, packaging design, branding, materials, colors, proportions and overall identity across all nine panels exactly as the reference. The product must remain clearly recognizable in every frame. The label, logo and proportions must stay exactly the same.

This storyboard is a high-end designer mockup presentation for a branding portfolio. The focus is on form, composition, materiality and visual rhythm rather than realism or lifestyle narrative. The overall look should feel curated, editorial and design-driven.

FRAME 1:
Front-facing hero shot of the product in a clean studio setup. Neutral background, balanced composition, calm and confident presentation of the product.

FRAME 2:
Close-up shot with the focus centered on the middle of the product. Focusing on surface texture, materials and print details.

FRAME 3:
Shows the reference product placed in an environment that naturally fits the brand and product category. Studio setting inspired by the product design elements and colours.

FRAME 4:
Product shown in use or interaction on a neutral studio background. Hands and interaction elements are minimal and restrained, the look matches the style of the package.

FRAME 5:
Isometric composition showing multiple products arranged in a precise geometric order from the top isometric angle. All products are placed at the same isometric top angle, evenly spaced, clean, structured and graphic.

FRAME 6:
Product levitating slightly tilted on a neutral background that matches the reference image color palette. Floating position is angled and intentional, the product is floating naturally in space.

FRAME 7:
is an extreme close-up focusing on a specific detail of the label, edge, texture or material behavior.

FRAME 8:
The product in an unexpected yet aesthetically strong setting that feels bold, editorial and visually striking.
Unexpected but highly stylized setting. Studio-based, and designer-driven. Bold composition that elevates the brand.

FRAME 9:
Wide composition showing the product in use, placed within a refined designer setup. Clean props, controlled styling, cohesive with the rest of the series.

CAMERA & STYLE:
Ultra high-quality studio imagery with a real camera look. Different camera angles and framings across frames. Controlled depth of field, precise lighting, accurate materials and reflections. Lighting logic, color palette, mood and visual language must remain consistent across all nine panels as one cohesive series.

OUTPUT:
A clean 3×3 grid with no borders, no text, no captions and no watermarks.","Vi","https://x.com/tehno_maniak/status/2013489628456636867"
"76","Comic / Storyboard - 10+ Page Manga Creation Prompt","","This entry refers to a publicly shared, free-to-use prompt template for creating a manga of over 10 pages using Nano Banana Pro. It is intended as a reference for generating comic-style illustrations.","Prompt for creating a manga of over 10 pages using nanobanana pro.","AI侍うっちー | AI教育 × キャリアUP","https://x.com/Air_AI_ToolDev/status/2013393905681682889"
"77","Comic / Storyboard - Transform Photo into 4 Dynamic Character Styles","","A prompt instructing the model to transform an original photo into four different photorealistic, ultra-detailed character styles. It specifies a mid-close-up, wide-angle shot with extreme, dynamic camera angles and powerful poses, requiring the original photo as input.","Transform the original photo into a dramatic, photorealistic, ultra-detailed set of 4 different styles characters are included , each a mid close up wide-angle shot with an extreme, dynamic camera angle with  powerful pose in a consistent, expanded version.","ANKIT PATEL 🇮🇳 | AI","https://x.com/Ankit_patel211/status/2013319725795934590"
"78","Comic / Storyboard - Real People Transforming into Comic Characters in a Future City","","A Japanese prompt used with Gemini (Nano Banana Pro) and DeeVid AI for video generation. The prompt describes a scenario where real men and women are sucked into a comic book, transform into comic characters, and strike a final pose against a futuristic city background. This is an example of a complex narrative prompt for AI video.","Real men and women are sucked into a comic book, transform into comic characters, and strike the final pose of the image against a futuristic city background.","Takuya,中村卓也,나카무라 타쿠야","https://x.com/nkmr_sun/status/2013150952207929449"
"79","Comic / Storyboard - Subtle Cyborg Transformation in Subway","","A highly detailed prompt for generating an ultra-realistic cinematic film still of a woman in a moving subway train, focusing on a subtle, early-stage cyborg transformation (faint bioluminescent circuitry, mechanical glint in one eye) and a tense, grounded sci-fi realism aesthetic.","{

  ""type"": ""image_generation_prompt"",

  ""language"": ""English"",

  ""style"": ""ultra-realistic cinematic film still"",

  ""aspect_ratio"": ""16:9"",

  ""subject"": {

    ""gender"": ""female"",

    ""pose"": {

      ""position"": ""standing alone"",

      ""orientation"": ""centered, facing the camera"",

      ""posture"": ""still, composed, slightly tense""

    },

    ""appearance"": {

      ""hood"": ""wearing a hooded jacket with the hood up"",

      ""face"": {

        ""skin_texture"": ""photorealistic, natural human skin"",

        ""cyborg_transition"": {

          ""stage"": ""early-stage"",

          ""details"": [

            ""faint bioluminescent circuitry barely visible beneath the skin"",

            ""subtle glow along one cheek and the side of the neck"",

            ""restrained and realistic, not exaggerated""

          ],

          ""eyes"": {

            ""left_or_right_eye"": ""one eye reflects a cold, mechanical glint while remaining mostly human""

          }

        }

      },

      ""expression"": ""neutral but intense, anticipatory, calm with underlying tension""

    }

  },

  ""environment"": {

    ""location"": ""inside a moving subway train"",

    ""interior"": {

      ""walls"": ""brushed metal"",

      ""poles"": ""vertical steel poles"",

      ""floor"": ""worn industrial flooring"",

      ""lighting"": ""soft, flickering fluorescent lights""

    },

    ""windows"": {

      ""outside_view"": ""motion blur indicating speed and movement""

    }

  },

  ""lighting"": {

    ""type"": ""natural cinematic lighting"",

    ""contrast"": ""soft contrast"",

    ""mood"": ""cool, tense, restrained""

  },

  ""color_palette"": {

    ""primary_tones"": [""desaturated blues"", ""cool grays""],

    ""saturation"": ""low, muted""

  },

  ""camera"": {

    ""depth_of_field"": ""shallow"",

    ""focus"": ""sharp on the woman’s face and upper body"",

    ""style"": ""high-end cinematic film still""

  },

  ""atmosphere"": {

    ""mood"": ""tense, anticipatory, pre-transformation"",

    ""genre"": ""sci-fi realism"",

    ""aesthetic"": ""grounded, subtle, realistic""

  },

  ""quality"": {

    ""realism"": ""photorealistic"",

    ""detail_level"": ""high"",

    ""skin_detail"": ""visible pores and natural texture""

  },

  ""constraints"": [

    ""No exaggerated sci-fi elements"",

    ""No fantasy glow or neon effects"",

    ""No cartoon or illustration style"",

    ""No overexposed lighting"",

    ""Cyborg elements must remain subtle and realistic""

  ],

  ""output_goal"": ""Create a photorealistic cinematic image of a woman standing alone inside a moving subway train, capturing a subtle early-stage cyborg transformation with a tense, anticipatory mood and grounded sci-fi realism.""

}","𝗦𝗮𝗻𝗶𝗮","https://x.com/saniaspeaks_/status/2013118390630744196"
"80","Comic / Storyboard - Frank Miller Sin City Graphic Novel Style Transfer","","A prompt designed to transform subjects from an uploaded image into the stark, high-contrast aesthetic of Frank Miller's Sin City graphic novels. It mandates deep shadows, heavy cross-hatching, thick ink outlines, and dramatic chiaroscuro lighting against a void background.","The subjects from the uploaded image rendered in a stark, high-contrast graphic novel style, heavily inspired by Frank Miller's Sin City aesthetic. Deep, unforgiving shadows define the muscular structure and harsh expressions, utilizing heavy cross-hatching and thick ink outlines instead of traditional shading. Dramatic chiaroscuro lighting emphasizes the tension between the two figures, with only stark white highlights cutting through the predominantly black composition, against a pure void background, appearing like a single, powerful comic book panel.","Dominus the Prompter","https://x.com/iamdomprompt/status/2012949546389643603"
"81","Comic / Storyboard - Selfie to Claymation Transformation","","A prompt used with Nano Banana Pro to transform a selfie into a claymation style, focusing on realistic clay texture, visible fingerprints, and the warmth of stop-motion animation. The prompt is shared in the second image of the tweet.","A close-up shot of a man with scissors, claymation, stop motion animation, miniature diorama, realistic clay texture, visible fingerprints, warm lighting, high detail, 8k","ハサミおじさん♪北海道のまちゼミ好きな二代目理容師","https://x.com/hasami_ojisan/status/2012870063456686140"
"82","Comic / Storyboard - Indie Film Aesthetic Narrative Grid Prompt","","A complex, structured JSON prompt designed to generate a 5-image narrative grid with an experimental indie film aesthetic. It focuses on a quiet, nostalgic moment of a young man at an abandoned bus stop, emphasizing raw realism, low contrast, and imperfect composition to simulate a remembered scene.","{
  ""concept"": ""a quiet moment that feels remembered rather than photographed"",
  ""subject"": {
    ""type"": ""young man"",
    ""age"": ""early 20s"",
    ""presence"": ""subtle, almost unnoticed within the frame"",
    ""expression"": ""emotion held back, eyes suggesting unfinished thoughts"",
    ""skin_tone"": ""natural muted tone with real-life unevenness"",
    ""features"": ""unposed face, relaxed posture, human imperfections preserved""
  },
  ""scene"": {
    ""environment"": ""abandoned outdoor bus stop near a dried riverbed"",
    ""location"": ""cracked concrete shelter, faded signage, tall wild grass reclaiming the area"",
    ""props"": ""old bench, weathered backpack, torn paper timetable"",
    ""time_of_day"": ""late evening just before blue hour fades"",
    ""weather"": ""still air, faint dust particles floating""
  },
  ""composition"": {
    ""style"": ""5-image narrative grid, non-linear storytelling"",
    ""shots"": [
      ""extreme close-up of fingers resting on the bench, shallow focus"",
      ""reflection of the subject in a scratched metal surface, face partially distorted"",
      ""medium shot from behind, subject seated and slightly slouched"",
      ""side profile framed through tall grass in the foreground"",
      ""wide static shot where the subject appears small, almost dissolving into space""
    ],
    ""camera_angles"": ""observational, imperfect, slightly off-center"",
    ""framing"": ""intentional imbalance, negative space dominating the frame""
  },
  ""lighting"": {
    ""type"": ""natural residual daylight"",
    ""quality"": ""soft, fading, low-energy light"",
    ""color_temperature"": ""cool desaturated blues with hints of warm decay"",
    ""shadows"": ""subtle, undefined, realistic""
  },
  ""visual_style"": {
    ""mood"": ""nostalgic, suspended, emotionally restrained"",
    ""color_grading"": ""washed-out tones with gentle color separation"",
    ""contrast"": ""very low, almost flat"",
    ""film_look"": ""experimental indie film / memory archive aesthetic"",
    ""realism"": ""raw, anti-gloss, intentionally imperfect""
  },
  ""camera_settings"": {
    ""lens"": ""40mm–58mm documentary-style lens"",
    ""depth_of_field"": ""selective focus, occasionally soft"",
    ""focus"": ""priority on atmosphere over sharpness""
  },
  ""quality"": {
    ""resolution"": ""4K"",
    ""detail"": ""natural textures, visible wear, realistic surfaces"",
    ""noise"": ""organic grain resembling scanned film"",
    ""artifacts"": ""none, no AI distortions""
  }
}","Harboriis","https://x.com/harboriis/status/2012778831330099383"
"83","Comic / Storyboard - Combat Scene Generation Comparison","","This is a prompt used to generate a combat scene, comparing the output quality between GPT-image and Nano Banana Pro, using the same prompt and reference image.","I use GPT-image for drawing combat scenes ( ´∀｀)
Left: GPT-image
Right: nano banana pro
Same prompt, same reference image","TomoHiko｜AI art","https://x.com/TomoHiko250220/status/2012335464406299026"
"84","Comic / Storyboard - Negative Prompting for Manga Generation in NanoBanana Pro","","A template for 'Forbidden Items' (negative prompts) specifically tailored for generating manga panels in NanoBanana Pro, ensuring correct reading order, language, and format.","[Forbidden Items]
- Left-to-right reading, bottom-to-top reading composition is forbidden
- English dialogue is forbidden
- Horizontal writing of dialogue is forbidden
- Monochrome, black and white, line art is forbidden","健太｜AI活用で個人ビジネスを仕組み化｜無在庫1000人超指導","https://x.com/kenta_business/status/2012133143843922078"
